video_id,verified_city,verified_region,verified_country,verified_location_text,location_status,location_confidence,location_evidence_url,location_evidence_method,location_reviewed_at,location_reviewer,location_notes
DjdUEyjx8GM,Tokyo,Tokyo,Japan,"Kabukicho, Shinjuku, Tokyo, Japan",verified,medium,https://www.youtube.com/watch?v=DjdUEyjx8GM,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
mexGMd6-8ik,Fort Madison,Iowa,United States,"Fort Madison, Iowa, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/iowa/fort-madison/train-station.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
YWs0HMRVCBY,Fort Lauderdale,Florida,United States,"Fort Lauderdale, Florida, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/florida/fort-lauderdale/elbo-room-band.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
gFRtAAmiFbE,Tokyo,Tokyo,Japan,"Kabukicho, Shinjuku, Tokyo, Japan",verified,medium,https://www.youtube.com/watch?v=gFRtAAmiFbE,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
DwKCna1mumk,Chaweng,Surat Thani,Thailand,"Chaweng, Koh Samui, Surat Thani, Thailand",verified,medium,https://www.youtube.com/watch?v=DwKCna1mumk,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
yFgVmioYkys,Chaweng,Surat Thani,Thailand,"Chaweng, Koh Samui, Surat Thani, Thailand",verified,medium,https://www.youtube.com/watch?v=yFgVmioYkys,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
98jOtUeM3m8,Los Angeles,California,United States,"Venice Beach, Los Angeles, California, United States",verified,medium,https://www.youtube.com/watch?v=98jOtUeM3m8,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
K7X1LIO6Occ,Toronto,Ontario,Canada,"Toronto, Ontario, Canada",verified,medium,https://www.youtube.com/watch?v=K7X1LIO6Occ,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
sxZxz0OPoh0,Sag Harbor,New York,United States,"Sag Harbor, New York, United States",verified,medium,https://www.youtube.com/watch?v=sxZxz0OPoh0,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
XjhxRZEm638,Leavenworth,Washington,United States,"Leavenworth, Washington, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/washington/leavenworth/downtown.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
